Student ID,What degree are you pursuing?,business,Coding,Work Experience,1,2,3,4,5,6,7,8,9,10,First Name,Last Name,Gender
70,0,0,0,0,6,2,3,9,5,8,1,10,7,4,Louis,Ambrogio,1
71,3,0,0,0,2,10,6,5,1,8,4,3,7,9,Elton,John,1
72,3,0,0,0,10,3,8,1,5,4,6,9,7,2,Pearl,Jam,0
73,1,0,0,0,2,10,7,6,8,3,4,5,9,1,Kendall,Trujillo,1
74,0,0,0,0,1,3,2,5,8,6,4,10,7,9,Gregory,Pon,1
75,3,0,0,0,9,8,10,7,3,5,6,4,2,1,Student,Name,1
76,3,0,0,0,2,8,5,6,1,9,4,10,3,7,Testing,Test,0
77,1,0,0,0,5,2,9,7,6,1,4,8,10,3,Andre,Van Der Beek,0
78,0,0,0,0,4,3,8,9,1,2,10,5,6,7,Ryan,Gosling,0
79,1,0,0,0,9,1,5,10,3,7,4,8,2,6,Sean,Du,0
80,0,0,0,0,5,3,6,1,7,9,8,2,4,10,Orlando,Bloom,0
81,3,0,0,0,3,8,7,4,1,5,10,9,6,2,Leonardo,DiCaprio,0
82,3,0,0,0,3,4,9,10,2,7,5,1,8,6,Kristen,Bell,0
83,1,0,0,0,3,6,1,10,7,5,2,9,8,4,Ask,Bukowski,0
84,1,0,0,0,6,3,9,2,4,1,5,8,10,7,Vincent,Straub,0
85,3,0,0,0,3,10,8,9,4,7,6,1,2,5,Cindy,Lauper,1
86,3,0,0,0,5,8,2,4,10,6,7,9,3,1,Bruce,Springstein,0
87,1,0,0,0,6,7,5,4,8,3,10,9,1,2,Thor,Jonckheer,0
88,3,0,0,0,7,8,3,9,5,10,2,6,4,1,Taylor,Swift,1
89,0,0,0,0,5,2,8,3,7,1,10,9,6,4,Emma,Sahn,1
90,1,0,0,0,9,7,4,5,3,10,8,1,6,2,Armando,Nordskov,0
91,3,0,0,0,8,6,7,2,1,10,5,4,3,9,Joshua,Jackson,0
92,0,0,0,0,1,5,6,7,4,8,10,3,9,2,Draco,Malfoy,0
93,3,0,0,0,8,2,6,10,4,1,9,5,3,7,Katie,Holmes,1
94,3,0,0,0,1,7,9,4,5,2,3,10,8,6,Michelle,Williams,1
95,0,0,0,0,9,1,10,4,6,5,8,2,3,7,Gregory,Pass,0
96,0,0,0,0,5,6,8,4,9,7,10,3,1,2,Donald,Trump,0
97,0,0,0,0,1,8,5,3,2,4,9,6,10,7,Harry,Potter,0
98,0,0,0,0,8,6,9,4,2,1,5,7,10,3,Hermione,Granger,1
99,0,0,0,0,2,5,9,7,4,8,1,6,10,3,Elise,Colbert,1
100,0,0,0,0,7,8,5,9,3,1,10,4,6,2,Tasha,Kewalramani,1
101,1,0,0,0,3,10,5,4,1,2,7,6,9,8,Mikael,Stepanek,0
102,1,0,0,0,7,3,6,8,10,4,5,1,9,2,Finlay,Jedinak,1
103,1,0,0,0,7,6,5,3,1,8,2,4,10,9,Baldovino,Boveri,1
104,1,0,0,0,6,3,8,10,7,2,9,4,5,1,Felinus,Buckley,1
105,0,0,0,0,8,7,9,3,2,10,5,1,6,4,Victoria,Hoffmeister,1
106,2,0,0,0,5,6,1,10,4,3,8,7,2,9,J,j,1
107,1,0,0,0,3,9,5,10,2,6,7,8,4,1,Maria,Aling,1
108,1,0,0,0,3,2,9,6,10,7,8,1,4,5,Sandeep,Svoboda,0
109,2,0,0,0,9,5,4,7,3,8,1,6,10,2,Lady,Gaga,1
110,0,0,0,0,2,7,9,4,5,3,6,10,1,8,Kenneth,Wong,0
111,1,0,0,0,10,7,5,4,8,6,9,1,3,2,Abaddon,Henriques,1
112,0,0,0,0,3,4,7,6,10,8,2,9,5,1,Hanna,Ramsden,1
113,1,0,0,0,7,4,8,3,9,10,5,6,1,2,David,Royceston,0
114,0,0,0,0,5,8,6,3,10,2,1,7,4,9,Megan,Teeking,1
115,2,0,0,0,7,6,1,10,8,3,9,4,5,2,Health,Jam,1
116,0,0,0,0,4,1,5,9,10,8,2,3,6,7,Daniel,Wilbanks,1
117,0,0,0,0,5,2,3,6,4,7,10,9,8,1,Charles,Lok,1
118,1,0,0,0,8,1,9,4,10,6,7,5,2,3,Hans,Wojewodka,1
119,0,0,0,0,5,8,1,10,3,7,9,2,6,4,Louis,Ambrogio,1
120,3,0,0,0,6,10,2,8,9,3,1,7,4,5,Elton,John,1
121,3,0,0,0,7,3,8,4,6,2,10,1,5,9,Pearl,Jam,0
122,1,0,0,0,8,6,10,9,5,2,4,3,1,7,Kendall,Trujillo,1
123,0,0,0,0,10,6,1,3,9,2,7,8,4,5,Gregory,Pon,1
124,3,0,0,0,2,10,1,6,7,3,9,8,5,4,Student,Name,1
125,3,0,0,0,5,6,8,7,1,10,3,2,9,4,Testing,Test,0
126,1,0,0,0,5,1,9,6,3,8,10,2,7,4,Andre,Van Der Beek,0
127,0,0,0,0,4,3,5,1,9,10,6,8,2,7,Ryan,Gosling,0
128,1,0,0,0,1,10,7,5,3,4,6,2,8,9,Sean,Du,0
129,0,0,0,0,5,10,8,9,6,7,1,4,3,2,Orlando,Bloom,0
130,3,0,0,0,10,5,4,2,3,1,7,9,6,8,Leonardo,DiCaprio,0
131,3,0,0,0,10,8,7,2,3,4,9,5,6,1,Kristen,Bell,0
132,1,0,0,0,6,8,10,9,1,2,4,5,3,7,Ask,Bukowski,0
133,1,0,0,0,4,3,5,9,6,7,8,2,10,1,Vincent,Straub,0
134,3,0,0,0,5,4,9,3,2,7,1,8,6,10,Cindy,Lauper,1
135,3,0,0,0,5,3,2,6,1,9,7,8,10,4,Bruce,Springstein,0
136,1,0,0,0,6,4,3,10,7,2,8,9,1,5,Thor,Jonckheer,0
137,3,0,0,0,7,1,9,3,6,5,8,2,10,4,Taylor,Swift,1
138,0,0,0,0,6,2,3,8,7,5,10,1,4,9,Emma,Sahn,1
139,1,0,0,0,5,7,2,4,6,9,1,8,3,10,Armando,Nordskov,0
140,3,0,0,0,9,3,5,7,10,8,1,2,6,4,Joshua,Jackson,0
141,0,0,0,0,5,6,9,8,2,7,3,10,1,4,Draco,Malfoy,0
142,3,0,0,0,3,9,2,8,7,10,1,5,4,6,Katie,Holmes,1
143,3,0,0,0,8,3,6,4,10,9,7,1,5,2,Michelle,Williams,1
144,0,0,0,0,9,1,2,6,3,10,8,5,7,4,Gregory,Pass,0
145,0,0,0,0,1,4,3,10,6,8,5,9,2,7,Donald,Trump,0
146,0,0,0,0,6,10,5,4,7,1,8,3,2,9,Harry,Potter,0
147,0,0,0,0,4,10,1,8,9,7,3,6,5,2,Hermione,Granger,1
